subfamily	family	orientation	n_copies	n_copies_total	median_log2fc	bg_median_log2fc	delta_vs_bg	frac_positive	median_input_dens	p	q
AluYd8	Alu	antisense	49	225	-1.76641	-1.75928	-0.00713312	0.102041	0.483833	0.435346	0.465405
AluYc	Alu	antisense	2008	8336	-1.76824	-1.75928	-0.00896107	0.196215	1.38744	0.012252	0.0165348
L1PA12	L1	antisense	257	1764	-1.77317	-1.75928	-0.0138927	0.171206	0.858838	0.34521	0.380104
L1M3b	L1	antisense	72	553	-1.77432	-1.75928	-0.0150392	0.166667	1.2983	0.576239	0.595772
AluYg6	Alu	antisense	163	790	-1.77975	-1.75928	-0.0204675	0.202454	1.23963	0.399713	0.432313
L1M3a	L1	antisense	211	625	-1.7802	-1.75928	-0.020919	0.113744	2.55001	0.273795	0.308146
AluSx1	Alu	sense	39145	109158	-0.358033	-0.330097	-0.0279361	0.427258	0.62436	0.000292525	0.000437354
AluJr4	Alu	antisense	5072	17432	-1.7875	-1.75928	-0.0282191	0.107453	2.75731	2.46593e-06	4.39829e-06
L1ME3C	L1	sense	2030	12438	-0.362729	-0.330097	-0.0326321	0.421675	1.26208	0.0393871	0.0504751
L1MD3	L1	sense	824	5276	-0.362903	-0.330097	-0.0328062	0.434466	1.08676	0.28117	0.315282
L1MA9	L1	sense	1917	16569	-0.364713	-0.330097	-0.0346159	0.437663	0.82726	0.0659215	0.0830829
L1P2	L1	antisense	255	1524	-1.79643	-1.75928	-0.0371542	0.121569	0.860287	0.63721	0.654374
AluYa8	Alu	antisense	64	334	-1.80605	-1.75928	-0.0467751	0.1875	0.987959	0.97682	0.981717
L1MA7	L1	sense	1028	8439	-0.377614	-0.330097	-0.0475171	0.450389	0.780806	0.470773	0.496836
L1ME5	L1	sense	359	3384	-0.387192	-0.330097	-0.0570951	0.445682	0.657322	0.58269	0.600407
L1M3de	L1	sense	47	462	-0.407699	-0.330097	-0.0776021	0.404255	0.784617	0.809587	0.828604
AluYh9	Alu	antisense	60	268	-1.84235	-1.75928	-0.0830673	0.266667	1.09645	0.978498	0.981717
L1PA7	L1	antisense	1972	12897	-1.84619	-1.75928	-0.086913	0.0806288	1.09111	0.00580885	0.00801674
AluSx4	Alu	sense	2065	5670	-0.420418	-0.330097	-0.0903208	0.414044	0.647168	0.102034	0.123006
L1M3e	L1	antisense	100	779	-1.85814	-1.75928	-0.0988651	0.14	1.09828	0.312463	0.34655
L1MA1	L1	antisense	592	4220	-1.85828	-1.75928	-0.0989999	0.101351	1.23746	0.0290117	0.0379767
AluSx	Alu	sense	50105	141949	-0.438988	-0.330097	-0.108891	0.419479	0.702429	5.7624e-22	1.86972e-21
L1P4d	L1	antisense	23	160	-1.87454	-1.75928	-0.11526	0.0869565	2.12947	0.3009	0.334943
