subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1ME2	antisense	L1	350	1658.1427	1932.2836	1751.7215	-0.1318	-0.3125	-0.2222	yes
AluSc8	antisense	Alu	816	1461.2279	1730.4631	2832.2465	-0.4448	-0.0271	-0.2360	yes
L1ME3B	antisense	L1	241	761.6824	918.2228	1295.7257	-0.3338	-0.1962	-0.2650	yes
L1MEf	antisense	L1	338	907.2465	1108.5377	1348.5644	-0.4343	-0.1055	-0.2699	yes
L1P4d	antisense	L1	3	2.7764	7.6803	4.5419	-1.5666	1.0212	-0.2727	NO
L1MC4a	antisense	L1	340	1445.3252	1765.4783	1797.6202	-0.2765	-0.3015	-0.2890	yes
SVA_C	antisense	SVA	19	230.3934	280.1658	306.1805	-0.5597	-0.0532	-0.3065	yes
L1MA7	antisense	L1	193	820.8710	1024.0541	1253.6197	-0.4039	-0.2206	-0.3122	yes
L1MEa	antisense	L1	4	1.3649	3.8402	11.8922	-1.8808	1.2466	-0.3171	NO
L1PBa1	sense	L1	16	385.1426	486.9148	387.2974	-0.5095	-0.1266	-0.3180	yes
SVA_C	sense	SVA	15	125.9115	158.8226	308.1103	-0.4336	-0.2259	-0.3298	yes
AluSq10	sense	Alu	94	238.3616	336.5435	194.2572	-1.0486	0.3611	-0.3438	NO
L1ME3E	antisense	L1	117	360.0903	472.9301	448.2016	-0.0099	-0.7409	-0.3754	yes
AluJb	antisense	Alu	4879	10963.5012	14507.3294	24556.4546	-0.3827	-0.4248	-0.4038	yes
AluSq10	antisense	Alu	84	165.1575	238.9975	266.0385	0.0837	-0.9496	-0.4330	NO
