subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1M2a1	antisense	L1	3	1.6456	0.0000	0.5867	1.7056	1.0212	1.3634	yes
L1ME3	antisense	L1	300	318.1461	127.9500	200.2530	1.0833	1.6226	1.3530	yes
L1PB1	antisense	L1	431	831.5302	373.0859	954.8121	2.2209	0.4631	1.3420	yes
L1ME4c	sense	L1	1107	9190.6661	3679.7858	4994.1168	1.3898	1.2504	1.3201	yes
L1MCa	antisense	L1	181	170.7327	77.8767	83.5079	0.6995	1.8971	1.2983	yes
L1MB4	antisense	L1	271	186.0211	80.7946	156.7672	0.6980	1.8462	1.2721	yes
AluYi6_4d	antisense	Alu	8	1.3649	0.0000	0.5010	1.2369	1.2466	1.2418	yes
L1MC2	antisense	L1	175	408.5249	178.1746	38.6177	1.4475	0.9638	1.2056	yes
L1P4e	antisense	L1	6	2.0591	0.0000	10.6861	0.0000	2.3557	1.1778	NO
L1PA3	antisense	L1	1201	1305.7230	581.6793	1433.2896	1.3343	1.0152	1.1748	yes
L1MEf	antisense	L1	410	390.7263	174.1832	202.9585	1.0430	1.3054	1.1742	yes
L1MEc	antisense	L1	543	631.6454	309.3451	421.5675	1.7166	0.5282	1.1224	yes
L1M4a2	antisense	L1	63	45.4307	21.1965	28.5839	1.5404	0.6915	1.1160	yes
L1M8	antisense	L1	74	86.7200	45.3110	66.8583	1.8769	0.3455	1.1112	yes
L1MA4	antisense	L1	301	282.6128	134.7081	213.7188	0.9186	1.2550	1.0868	yes
L1M6	antisense	L1	162	289.5916	139.6218	143.2071	1.3534	0.7110	1.0322	yes
L1ME3E	antisense	L1	130	186.3558	98.3022	123.1418	1.5852	0.4604	1.0228	yes
L1P4	antisense	L1	119	125.8562	82.6391	79.4884	-0.0410	2.0782	1.0186	NO
Alu	sense	Alu	518	1018.8959	542.5067	1384.6231	1.4791	0.4926	0.9858	yes
L1ME3C	antisense	L1	111	57.4805	28.8768	27.3043	0.9364	1.0049	0.9706	yes
L1MA4A	antisense	L1	187	183.6970	105.0603	228.3565	1.4654	0.3961	0.9307	yes
AluJr4	sense	Alu	3429	15990.7960	8417.2797	19452.3789	0.8539	0.9992	0.9266	yes
L1MA6	antisense	L1	155	143.2255	78.9502	128.6801	0.9322	0.7699	0.8511	yes
L1ME3Cz	antisense	L1	367	320.5241	176.1789	157.6515	1.0105	0.6904	0.8504	yes
L1PBa1	sense	L1	32	3729.3933	2085.2704	4052.2854	0.8318	0.8450	0.8384	yes
L1MEg	antisense	L1	448	549.6999	313.9562	299.5399	1.0073	0.6252	0.8163	yes
L1M4	antisense	L1	620	478.9907	290.4616	249.0271	0.3509	1.2713	0.8111	yes
AluYk4	antisense	Alu	49	32.8345	24.1144	11.9314	2.2006	-0.5813	0.8096	NO
SVA_C	antisense	SVA	33	124.8733	71.2699	241.6624	1.1352	0.4812	0.8082	yes
L1ME3A	antisense	L1	481	483.8730	276.3256	173.6702	0.9105	0.6996	0.8050	yes
L1MEi	antisense	L1	186	131.6596	76.0322	64.5909	0.6138	0.9717	0.7928	yes
L1P4a	antisense	L1	24	122.8694	73.1143	245.4157	0.4544	1.1249	0.7896	yes
L1ME2	antisense	L1	397	394.7369	236.6993	266.9450	0.4617	1.0678	0.7647	yes
L1MEd	antisense	L1	729	668.4149	393.8287	341.4227	0.7953	0.7315	0.7634	yes
L1M4b	antisense	L1	154	147.9986	103.8356	22.5597	-0.0067	1.3880	0.6906	NO
L1MA8	antisense	L1	282	381.7186	242.6864	325.3596	0.8836	0.4351	0.6594	yes
L1M3f	antisense	L1	30	32.8582	21.1965	10.1986	1.1309	0.1859	0.6584	yes
L1MC4a	antisense	L1	405	393.6620	256.2026	143.4056	0.7801	0.4876	0.6338	yes
L1MD	antisense	L1	276	237.6818	154.9824	142.2167	0.6403	0.5843	0.6123	yes
L1M3a	sense	L1	31	262.9523	175.2567	448.1573	0.7058	0.4684	0.5871	yes
AluYi6	antisense	Alu	30	9.0393	23.0410	4.4170	-2.1649	3.2600	0.5475	NO
AluJb	sense	Alu	21491	92233.9447	64393.1807	118833.6333	0.4646	0.5709	0.5178	yes
AluJr	sense	Alu	14215	59259.0249	41520.1426	77686.7408	0.4957	0.5302	0.5129	yes
L1P3b	antisense	L1	2	0.5148	0.0000	0.5602	0.0000	1.0212	0.5106	NO
L1MB8	antisense	L1	638	555.6669	393.6774	490.4625	0.3895	0.6104	0.5000	yes
AluJo	sense	Alu	13037	53830.2565	38501.6503	70130.2813	0.4213	0.5452	0.4833	yes
L1MC	antisense	L1	215	135.7378	97.2288	75.5003	0.5491	0.3972	0.4732	yes
L1MD2	antisense	L1	351	351.5586	267.8743	182.7747	1.0049	-0.0809	0.4620	NO
L1MB5	antisense	L1	291	277.0356	206.9002	198.2389	0.3828	0.4674	0.4251	yes
AluSq4	antisense	Alu	105	42.9350	41.4708	17.5353	1.4263	-0.6436	0.3914	NO
L1ME3F	antisense	L1	165	138.9363	109.8227	83.7413	0.6962	0.0541	0.3752	yes
L1ME1	antisense	L1	1055	981.0278	764.6163	723.0186	0.5747	0.1534	0.3640	yes
L1MC3	antisense	L1	377	316.7826	255.2804	212.0495	0.6848	0.0050	0.3449	yes
L1P2	antisense	L1	112	109.5725	96.1553	61.8075	-0.4382	1.1041	0.3330	NO
L1MB2	antisense	L1	294	227.8857	190.7686	124.4536	0.8193	-0.2041	0.3076	NO
L1ME4b	antisense	L1	730	499.9247	416.8696	345.7902	0.2970	0.2256	0.2613	yes
SVA_C	sense	SVA	44	268.5848	231.1659	558.0114	0.3746	0.0907	0.2327	yes
SVA_B	sense	SVA	91	454.5960	387.9928	569.8858	0.2457	0.2105	0.2281	yes
L1P	antisense	L1	1	0.1716	0.0000	0.0000	0.0000	0.4257	0.2128	NO
AluSc5	antisense	Alu	268	188.4379	189.3926	126.8787	-0.5614	0.9572	0.1979	NO
SVA_A	sense	SVA	177	620.9402	548.5086	1231.5657	-0.0845	0.4786	0.1971	NO
SVA_E	sense	SVA	109	284.2137	252.2112	525.4711	0.0815	0.2626	0.1721	yes
L1MA10	antisense	L1	139	161.2187	145.3064	90.8339	-0.0650	0.4011	0.1681	NO
AluSz6	sense	Alu	7574	28725.1841	25769.5674	32439.9160	0.1154	0.1956	0.1555	yes
SVA_F	antisense	SVA	95	98.1545	101.2202	488.4497	0.7039	-0.4561	0.1239	NO
L1MB7	antisense	L1	871	754.6583	694.1175	458.2988	0.0841	0.1565	0.1203	yes
L1M4c	antisense	L1	116	121.2712	113.6629	183.8574	0.3317	-0.0972	0.1173	NO
L1P4e	sense	L1	12	78.9365	80.9459	107.5820	0.5333	-0.4368	0.0482	NO
L1P4b	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1P4b	sense	L1	2	0.0000	0.0000	0.5538	0.0000	0.0000	0.0000	yes
L1P4c	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1P4c	sense	L1	1	0.0000	0.0000	0.5538	0.0000	0.0000	0.0000	yes
L1M3de	antisense	L1	9	2.7843	6.7581	7.6272	2.0588	-2.0931	-0.0172	NO
AluYh3	antisense	Alu	127	58.0505	62.5161	52.2291	-0.7393	0.6871	-0.0261	NO
AluSz6	antisense	Alu	2505	1447.9124	1522.4894	1283.2952	-0.2686	0.1480	-0.0603	NO
L1MC1	antisense	L1	371	271.7254	305.5049	230.3464	0.5898	-0.7201	-0.0651	NO
L1MC3	sense	L1	1060	15830.4253	16940.4977	11699.4984	-0.0470	-0.1478	-0.0974	yes
AluSc	antisense	Alu	1625	899.0771	1000.7107	551.4607	-0.4197	0.1635	-0.1281	NO
L1ME3B	antisense	L1	323	293.7061	322.5588	166.9744	-0.1498	-0.1212	-0.1355	yes
L1PB	antisense	L1	59	26.0338	28.8768	21.0231	-0.1272	-0.1638	-0.1455	yes
AluJr	antisense	Alu	4497	2575.7359	2897.6619	2733.8234	-0.2291	-0.1106	-0.1698	yes
AluSg4	antisense	Alu	360	253.5238	290.6128	583.5894	-0.4774	0.1207	-0.1784	NO
AluSg7	antisense	Alu	433	222.1475	276.9454	185.1142	-0.9063	0.5369	-0.1847	NO
SVA_A	antisense	SVA	79	46.3899	72.3433	25.3923	1.0521	-1.4488	-0.1983	NO
L1ME5	antisense	L1	79	86.0961	106.7535	139.7593	-0.7495	0.3399	-0.2048	NO
L1ME4a	antisense	L1	874	632.1057	731.7481	323.8058	-0.1023	-0.3201	-0.2112	yes
AluYh9	antisense	Alu	6	1.5365	3.8402	0.0000	-1.8808	1.4415	-0.2197	NO
SVA_B	antisense	SVA	48	83.9601	99.2245	109.2084	-0.1298	-0.3118	-0.2208	yes
L1MC5a	antisense	L1	513	290.7495	352.5091	203.4267	-0.0785	-0.4436	-0.2611	yes
AluYk11	sense	Alu	184	361.2403	443.5995	474.8035	-0.6229	0.0721	-0.2754	NO
AluSx3	antisense	Alu	1575	846.1594	1050.6180	646.4917	-0.1942	-0.4173	-0.3058	yes
AluSc	sense	Alu	4986	16663.5197	20610.4858	16130.5142	-0.3906	-0.2255	-0.3081	yes
AluJr4	antisense	Alu	1067	487.9302	608.2580	512.5483	-0.4715	-0.1454	-0.3085	yes
AluSc5	sense	Alu	1023	3747.1105	4746.8527	3017.5038	-0.4153	-0.2664	-0.3409	yes
SVA_E	antisense	SVA	55	44.2690	71.1186	98.1934	-1.5099	0.8271	-0.3414	NO
AluSq4	sense	Alu	301	1304.3571	1671.6359	1315.9279	-0.6608	-0.0375	-0.3491	yes
AluJo	antisense	Alu	4063	2328.7866	2992.1239	2689.9655	-0.3942	-0.3290	-0.3616	yes
AluYm1	antisense	Alu	212	91.7509	123.1877	71.7998	-0.6498	-0.1737	-0.4117	yes
