subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
SVA_C	antisense	SVA	5	11.6757	40.3973	39.9800	-2.5129	-0.8311	-1.6720	yes
L1ME4b	antisense	L1	329	3745.5311	12031.7532	3595.9892	-1.6315	-1.7327	-1.6821	yes
AluJr4	antisense	Alu	284	1200.3444	3944.7274	2679.8604	-1.4857	-1.9244	-1.7050	yes
L1MA10	sense	L1	17	14.9748	55.9092	5.2470	-1.3138	-2.0970	-1.7054	yes
SVA_E	antisense	SVA	6	8.3142	28.8768	25.5971	-2.1131	-1.3113	-1.7122	yes
AluY	antisense	Alu	995	6276.4572	20580.6571	6485.3906	-1.7161	-1.7102	-1.7132	yes
AluSz6	antisense	Alu	581	2817.9317	9423.1917	5757.4119	-1.7504	-1.7321	-1.7412	yes
L1PB1	sense	L1	61	118.1588	398.5910	33.0844	-1.6946	-1.7967	-1.7457	yes
SVA_A	sense	SVA	7	9.9052	35.6349	3.0325	-1.7949	-1.7136	-1.7542	yes
AluSq4	antisense	Alu	26	153.0847	526.5411	278.6593	-1.9354	-1.6173	-1.7763	yes
AluJr	sense	Alu	600	897.7877	3176.1492	358.8264	-1.9140	-1.7168	-1.8154	yes
AluYb9	antisense	Alu	5	7.5574	34.7127	9.5520	-0.7700	-2.8722	-1.8211	yes
L1MB3	antisense	L1	196	1468.4728	5230.2150	2363.6504	-1.6969	-1.9676	-1.8322	yes
L1MEh	antisense	L1	28	170.8813	611.3271	302.4708	-1.7510	-1.9206	-1.8358	yes
AluJo	antisense	Alu	1071	5970.9685	21340.0722	10262.5359	-1.8188	-1.8561	-1.8374	yes
