subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1PBa1	sense	L1	22436	15747	9822	12835	358	210
L1PBb	antisense	L1	4000	2877	794	903	6	6
L1PBb	sense	L1	2546	2152	3223	3660	0	7
L1PREC2	antisense	L1	75286	68246	23250	29232	282	180
L1PREC2	sense	L1	72097	54170	72369	89821	524	380
SVA_A	antisense	SVA	18043	11363	4095	6539	398	214
SVA_A	sense	SVA	8939	6418	3246	4807	288	174
SVA_B	antisense	SVA	35508	21119	6682	11158	245	175
SVA_B	sense	SVA	6795	4480	2617	3948	339	196
SVA_C	antisense	SVA	32530	19356	7050	11962	335	195
SVA_C	sense	SVA	6015	3718	1499	2354	279	155
SVA_D	antisense	SVA	86006	51675	15717	26200	1440	760
SVA_D	sense	SVA	24440	15131	6267	9381	3334	1814
SVA_E	antisense	SVA	9336	6237	3364	4960	262	126
SVA_E	sense	SVA	6364	4373	1350	1865	162	75
SVA_F	antisense	SVA	32285	19962	3789	5943	206	136
SVA_F	sense	SVA	7456	4770	2121	2934	649	367
