level	name	family	n_copies	n_bins	n_eff	copies_per_bin	top_chrom_frac	gc_mean	speckle_mean	speckle_se	speckle_resid	speckle_resid_se	lamina_mean	lamina_se	lamina_resid	lamina_resid_se	nucleolus_MKI67IP_mean	nucleolus_MKI67IP_se	nucleolus_MKI67IP_resid	nucleolus_MKI67IP_resid_se	nucleolus_POL1RE_mean	nucleolus_POL1RE_se	nucleolus_POL1RE_resid	nucleolus_POL1RE_resid_se	lam_minus_nuc	lam_minus_nuc_se	lam_minus_nuc_resid	lam_minus_nuc_resid_se
subfamily	L1MD2	L1	10703	5375	3284.9	1.9913	0.095442	0.40471	-0.085114	0.0097861	0.072789	0.0062017	-0.42145	0.016999	-0.19237	0.01346	-0.15423	0.0081413	0.053646	0.0072492	-0.062905	0.0055925	0.032248	0.0040115	-0.26722	0.0234	-0.24601	0.018685
subfamily	L1MD3	L1	5230	3395	2244.6	1.5405	0.086303	0.40938	-0.055771	0.012195	0.059372	0.0075167	-0.42895	0.021461	-0.15252	0.017379	-0.13721	0.011015	0.051301	0.010005	-0.043109	0.0071102	0.031393	0.0052065	-0.29173	0.030489	-0.20382	0.025172
subfamily	L1MDa	L1	6834	2645	1743.1	2.5837	0.098677	0.39748	-0.14801	0.014194	0.076631	0.0087977	-0.37838	0.025011	-0.24626	0.019285	-0.15567	0.012407	0.090007	0.010807	-0.088683	0.0081523	0.045124	0.0057437	-0.22272	0.034884	-0.33626	0.027066
subfamily	L1MDb	L1	1056	440	302.37	2.4	0.15	0.38923	-0.23713	0.027167	0.059395	0.017267	-0.2958	0.060723	-0.25977	0.047853	-0.14958	0.029047	0.13384	0.024644	-0.13	0.018814	0.042861	0.013227	-0.14622	0.084117	-0.39361	0.065542
subfamily	L1ME1	L1	30794	13703	8538.4	2.2472	0.089032	0.39798	-0.13861	0.0059699	0.076506	0.0035793	-0.31033	0.010412	-0.16719	0.0080293	-0.22593	0.004761	0.015859	0.0041059	-0.11068	0.0033632	0.01891	0.0022615	-0.084399	0.014094	-0.18305	0.010815
subfamily	L1ME2	L1	12689	5941	3639.9	2.1358	0.092409	0.39798	-0.13972	0.010123	0.072294	0.0057491	-0.27974	0.016394	-0.14154	0.01211	-0.2207	0.0075404	0.022611	0.0064103	-0.11238	0.0054551	0.018543	0.0035933	-0.059036	0.022378	-0.16415	0.016577
subfamily	L1ME2z	L1	7031	4043	2467.9	1.7391	0.081128	0.40749	-0.031442	0.012225	0.10241	0.0072416	-0.46847	0.019236	-0.21358	0.014369	-0.16744	0.0090431	0.03009	0.0075033	-0.051869	0.0065165	0.032342	0.0041706	-0.30103	0.026278	-0.24367	0.019316
subfamily	L1ME3	L1	9159	4783	3013.1	1.9149	0.08802	0.40907	-0.053358	0.010628	0.06182	0.0061111	-0.40997	0.017723	-0.13633	0.013597	-0.16925	0.0085753	0.02055	0.0076553	-0.056421	0.0059147	0.019308	0.0040365	-0.24072	0.024625	-0.15688	0.019322
subfamily	L1ME3A	L1	15631	8350	5236	1.872	0.083234	0.40093	-0.14509	0.0076629	0.039576	0.0042484	-0.26334	0.013408	-0.086816	0.0097209	-0.21157	0.006321	0.017031	0.0054865	-0.10526	0.0045133	0.010467	0.0030157	-0.051768	0.018353	-0.10385	0.01353
subfamily	L1ME3B	L1	8083	3859	2354.2	2.0946	0.088624	0.4011	-0.098046	0.011228	0.092841	0.0070998	-0.38046	0.019439	-0.2019	0.015454	-0.20646	0.0092202	0.020877	0.008071	-0.089552	0.006337	0.02515	0.0044434	-0.174	0.026518	-0.22277	0.020962
subfamily	L1ME3C	L1	3432	2069	1337.3	1.6588	0.079265	0.40299	-0.10797	0.013784	0.065805	0.0086672	-0.32658	0.025417	-0.12267	0.01997	-0.20095	0.011846	0.016451	0.010483	-0.078882	0.0082916	0.025837	0.0059123	-0.12563	0.034736	-0.13912	0.027484
subfamily	L1ME3Cz	L1	12128	7520	4984	1.6128	0.092021	0.40301	-0.11893	0.0070812	0.05403	0.0044892	-0.33811	0.012667	-0.12542	0.010054	-0.21588	0.0060959	-0.0015434	0.0053031	-0.090585	0.0041574	0.011421	0.0028265	-0.12223	0.017381	-0.12388	0.013688
subfamily	L1ME3D	L1	4138	2062	1266.3	2.0068	0.085354	0.39813	-0.14903	0.013906	0.065526	0.0089728	-0.30341	0.026836	-0.14761	0.021149	-0.22255	0.013159	0.014692	0.011548	-0.10777	0.0085689	0.01783	0.00609	-0.080859	0.037178	-0.1623	0.029347
subfamily	L1ME3E	L1	4460	2289	1356.1	1.9484	0.090869	0.39749	-0.15237	0.01424	0.070134	0.009051	-0.28871	0.025346	-0.15797	0.02047	-0.25022	0.011315	-0.0046482	0.0099621	-0.12159	0.0078653	0.011709	0.0057079	-0.03849	0.034102	-0.15332	0.027393
subfamily	L1ME3F	L1	4603	2309	1465.2	1.9935	0.097012	0.3997	-0.11866	0.015098	0.078983	0.009444	-0.2995	0.025802	-0.1325	0.019624	-0.22676	0.011608	0.0057595	0.0097603	-0.10843	0.0084491	0.011634	0.0054028	-0.072744	0.034913	-0.13826	0.026249
subfamily	L1ME3G	L1	16344	11092	8018.9	1.4735	0.087631	0.41069	-0.048484	0.0058158	0.056389	0.0038566	-0.44426	0.010112	-0.13461	0.0083467	-0.17706	0.0053005	-0.00092261	0.0047564	-0.050075	0.0034816	0.012782	0.0025685	-0.2672	0.014226	-0.13369	0.01173
subfamily	L1ME4a	L1	33902	20993	15018	1.6149	0.093126	0.41245	-0.065941	0.0040821	0.026351	0.0026769	-0.40061	0.0070103	-0.071628	0.0057492	-0.19585	0.0034028	-0.027598	0.0029727	-0.054807	0.0023577	-1.8158e-05	0.0016365	-0.20476	0.0096039	-0.044029	0.0077558
