subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
SVA_E	sense	SVA	15	36.2040	95.3843	64.3903	-0.7811	-1.8678	-1.3245	yes
L1M6B	antisense	L1	3	8.4779	25.9589	0.0000	-2.1809	-0.4998	-1.3403	yes
L1PA17	sense	L1	26	157.1090	407.3448	120.6096	-1.2900	-1.4375	-1.3638	yes
AluSg7	antisense	Alu	49	32.3592	87.5527	15.3008	-1.7125	-1.0292	-1.3708	yes
AluSc	antisense	Alu	165	147.5779	393.5262	112.8825	-1.6933	-1.0598	-1.3766	yes
L1ME2z	sense	L1	42	344.7730	908.3955	238.7799	-1.5264	-1.2293	-1.3778	yes
L1MB1	sense	L1	22	534.7618	1392.3776	167.0386	-1.1656	-1.5951	-1.3803	yes
L1MA5	antisense	L1	8	46.9822	142.6909	52.7572	-0.3197	-2.4493	-1.3845	yes
L1MC5a	sense	L1	125	2302.6283	6152.9125	1434.4748	-1.4463	-1.3865	-1.4164	yes
L1ME4a	antisense	L1	91	81.4860	220.5677	46.6595	-0.9905	-1.8463	-1.4184	yes
L1PB4	sense	L1	33	83.2034	226.2523	238.8092	-1.6084	-1.2800	-1.4442	yes
AluSx4	sense	Alu	114	993.1063	2761.7142	966.7041	-1.5816	-1.3888	-1.4852	yes
AluSq10	antisense	Alu	10	25.6597	76.9545	7.6272	-2.0400	-0.9351	-1.4876	yes
AluYk12	sense	Alu	3	3.0184	10.5983	3.9353	-1.4122	-1.6041	-1.5081	yes
L1M4	antisense	L1	60	49.7363	147.3021	34.8601	-1.7111	-1.4031	-1.5571	yes
SVA_D	antisense	SVA	75	222.1448	668.7783	316.9278	-1.6535	-1.4950	-1.5743	yes
AluSx1	antisense	Alu	546	440.4404	1323.5720	388.3617	-1.6556	-1.5113	-1.5834	yes
AluSz6	antisense	Alu	200	284.6424	893.0201	150.2420	-1.2938	-1.9232	-1.6085	yes
