cell_line	rbp	element	subfamily	orientation	n_peaks_rbp	loci_in_cat	bg_loci_in_cat	n_peaks_bg	pooled_loci_in_cat	fold_enrichment	p_fisher_greater	q_BH
K562	AARS	L1	L1ME3C	antisense	1457	0	60	883938	60	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA5A	sense	1457	0	19	883938	19	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA5A	antisense	1457	0	83	883938	83	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MEh	sense	1457	0	11	883938	11	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MEh	antisense	1457	0	52	883938	52	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MB1	sense	1457	0	27	883938	27	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MB1	antisense	1457	0	108	883938	108	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MD2	sense	1457	1	148	883938	149	4.0992	2.176e-01	1.000e+00
K562	AARS	L1	L1MD2	antisense	1457	0	244	883938	244	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MEi	sense	1457	0	36	883938	36	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MEi	antisense	1457	0	44	883938	44	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA13	sense	1457	0	64	883938	64	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA13	antisense	1457	0	119	883938	119	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME5	sense	1457	0	13	883938	13	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME5	antisense	1457	0	72	883938	72	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1P2	sense	1457	0	15	883938	15	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1P2	antisense	1457	0	54	883938	54	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA1	sense	1457	0	23	883938	23	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA1	antisense	1457	0	37	883938	37	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYb8	sense	1457	0	0	883938	0	nan	1.000e+00	1.000e+00
K562	AARS	Alu	AluYb8	antisense	1457	0	2	883938	2	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA17	sense	1457	0	37	883938	37	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA17	antisense	1457	0	99	883938	99	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PB4	sense	1457	0	76	883938	76	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PB4	antisense	1457	0	78	883938	78	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYh7	sense	1457	0	0	883938	0	nan	1.000e+00	1.000e+00
K562	AARS	Alu	AluYh7	antisense	1457	0	0	883938	0	nan	1.000e+00	1.000e+00
K562	AARS	L1	L1MA6	sense	1457	0	30	883938	30	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA6	antisense	1457	0	92	883938	92	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PB2	sense	1457	0	6	883938	6	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PB2	antisense	1457	0	34	883938	34	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1P3	sense	1457	0	18	883938	18	0.0000	1.000e+00	1.000e+00
