subfamily	orientation	family	baseMean	log2FoldChange	lfcSE	pvalue	padj
L1MD2	sense	L1	458.963192641594	-0.603239968216143	0.24784928801758	0.0149371900573299	0.0202963345817154
AluYk12	antisense	Alu	2.10981198546897	-0.604267250372613	1.99438097175854	0.761901395457517	NA
L1PBa1	sense	L1	73.2239324091074	-0.617809963633989	0.659513534191956	0.348878853638271	0.395544178010269
AluYc	antisense	Alu	81.3032759726524	-0.621452127152382	0.353330504236062	0.0786045428609387	0.115514502117379
L1MC4a	sense	L1	213.477358516007	-0.6640957454321	0.357002035556736	0.0628570136601785	0.0804931541835379
L1ME4b	antisense	L1	476.957153805523	-0.697183023640261	0.16753014491784	3.16111717762865e-05	7.97356422416779e-05
L1ME3C	sense	L1	56.6880638906351	-0.789182074298462	0.523231460515273	0.131481644176965	0.16366246617832
Alu	sense	Alu	40.1666448989244	-0.804128216871178	0.542512212927314	0.138278940236233	0.170928134458677
L1MB3	antisense	L1	400.213329415302	-0.835657827058286	0.183987565533942	5.57427250000323e-06	1.57008675416758e-05
AluYb8	antisense	Alu	47.4703687247292	-0.837426316231394	0.458370511230074	0.0677052172736076	0.103082718191348
L1ME4a	antisense	L1	437.695106890927	-0.837835968428383	0.166525300586282	4.87207515757278e-07	1.55354849364113e-06
AluSz6	antisense	Alu	567.762046409788	-0.865916422863978	0.215371199399923	5.80558466704022e-05	0.000142194754888376
L1MB4	antisense	L1	174.052476685121	-0.874285279146125	0.280559512417863	0.00183185296931591	0.00372991749173963
L1M3a	antisense	L1	19.3755990454223	-0.898596117916369	0.719218729151209	0.2115166544526	0.27858635357168
AluYe5	antisense	Alu	23.8588833606552	-0.913249582162028	0.638080216884488	0.152359803224879	0.205990453960036
AluSz	antisense	Alu	2014.95144790343	-0.938072590980134	0.125625314584124	8.19031541109723e-14	5.53665321790173e-13
AluJr4	antisense	Alu	301.45700609088	-0.967138739425788	0.193317408554489	5.64877695735525e-07	1.76785797369081e-06
SVA_E	antisense	SVA	70.7446393659303	-0.980661143126738	0.383995785376616	0.0106544316642457	0.0200066550139725
L1MEg	antisense	L1	390.922957278894	-0.993232040381838	0.191181998933614	2.0448078102804e-07	6.7759317634782e-07
AluSc	antisense	Alu	740.062534183529	-1.00062710551965	0.143898647142783	3.55843971621231e-12	1.76875385894083e-11
AluJo	antisense	Alu	1407.21849274138	-1.10673881354853	0.156348859075141	1.45565761954019e-12	8.20020459007639e-12
SVA_A	antisense	SVA	40.4964477953392	-1.11923827565189	0.576974978773997	0.0523993204658247	0.0827615435394801
SVA_F	antisense	SVA	118.627397116374	-1.12629256297309	0.497172520343436	0.0234883989475676	0.0409230868261744
L1P4e	sense	L1	5.80918662460482	-1.12993787307172	1.39385786991003	0.4175638134841	0.467461376101697
AluJr	antisense	Alu	1633.96917995361	-1.13166625724892	0.145969017293432	8.98994856002948e-15	6.60565785497818e-14
AluYk11	antisense	Alu	11.1717268195464	-1.14540361401245	0.919032161962022	0.212648755093176	0.27858635357168
L1MD2	antisense	L1	419.952636379669	-1.15830343317476	0.170240738545127	1.01813963487394e-11	4.65042157550532e-11
L1P5	sense	L1	17.6827053963403	-1.17423211741599	1.59544519419436	0.461736627546538	0.507340245081999
AluSc8	antisense	Alu	458.830053686547	-1.22904001567498	0.204686388862429	1.91918983571149e-09	7.54286237756378e-09
L1ME3	antisense	L1	406.504282401229	-1.25173449461935	0.179515504561881	3.10586085953289e-12	1.59057722806382e-11
L1ME4a	sense	L1	455.739729721824	-1.26814320207775	0.164252113223968	1.15681998935766e-14	2.98426026240092e-14
L1MB4	sense	L1	338.137133885389	-1.28953080719786	0.193273812820331	2.52270028983954e-11	5.90842962620314e-11
L1MA8	sense	L1	1505.89726315398	-1.32623682122079	0.0979905355649557	9.80646906940816e-42	3.63656561323886e-41
L1ME1	sense	L1	2966.02172463882	-1.33041947496351	0.0944546294461059	4.67830989431193e-45	1.85053146930561e-44
AluSg	antisense	Alu	763.958781442665	-1.3349092277312	0.163778994575763	3.61900871792396e-16	3.05806236664575e-15
AluYg6	antisense	Alu	17.6673015055155	-1.33566204885231	0.897638381140492	0.136757904374566	0.189443326551653
AluSx	antisense	Alu	2185.38293550652	-1.36348070687927	0.196341433174585	3.79972681104134e-12	1.83472523161711e-11
AluSg7	antisense	Alu	135.206829540655	-1.37272450485389	0.431702766716541	0.00147381387118861	0.00311343180288595
AluJb	antisense	Alu	2743.9646240679	-1.38066436882224	0.168238350851665	2.27545459569438e-16	2.02395698248606e-15
AluY	antisense	Alu	2541.51804920178	-1.38251985323637	0.120140950188393	1.20958326805584e-30	2.92027960430623e-29
L1MA5A	antisense	L1	156.049373173377	-1.38728567490651	0.325339954351344	2.0069966927098e-05	5.21819140104548e-05
SVA_C	antisense	SVA	106.902823040884	-1.42094951179462	0.437443818249098	0.00116096087659887	0.00248357453348367
AluSc5	antisense	Alu	187.775780232376	-1.45633947472593	0.230036920615151	2.43743974568949e-10	1.02981829255381e-09
L1ME4c	sense	L1	200.576274091045	-1.47728513529884	0.383600792526565	0.000117588313943221	0.000192024953044892
AluSx3	antisense	Alu	735.133184014124	-1.49035654815219	0.167734521482501	6.37997966395601e-19	7.18811042139044e-18
AluSx4	antisense	Alu	143.556291072745	-1.49277143358854	0.261764392248401	1.17904240528439e-08	4.34073888953507e-08
AluYm1	antisense	Alu	205.902933650224	-1.51907633484819	0.222650474345661	8.93480652219511e-12	4.19439528403048e-11
AluSp	antisense	Alu	1193.53215896956	-1.56622111696583	0.175915738536022	5.42367358415936e-19	6.54714882659236e-18
L1MC4	sense	L1	3850.40687934139	-1.59340379858162	0.118270778013032	2.27026896343467e-41	8.24709949982389e-41
L1MB3	sense	L1	795.329701037925	-1.61034939437706	0.187222984433013	7.8860952805903e-18	2.19332024991418e-17
L1ME4b	sense	L1	826.918397900994	-1.61524689529237	0.128347467861707	2.55493683278948e-36	8.9172305144417e-36
