subfamily	family	orientation	n_genes	n_copies	n_contacts	te_frac	ctl_exp_frac	z_gene	p_gene	q_gene	shift_mean	shift_sd	z_shift	p_shift	q_shift
L1MEg2	L1	antisense	20	53	237	0.021097	0.0148245	0.801804	0.211333	1	0.0120058	0.0167591	0.542465	0.293749	1
L1ME5	L1	antisense	135	281	1017	0.086529	0.0808286	0.738896	0.229985	1	0.057735	0.03982	0.723104	0.234808	1
L1M2c	L1	antisense	21	45	483	0.047619	0.0416486	0.677085	0.249176	1	0.0397746	0.0185905	0.421962	0.336526	1
L1M2a	L1	sense	38	132	1584	0.0119949	0.0107029	0.507767	0.305808	1	0.0118461	0.0159329	0.00934439	0.496272	1
L1MEa	L1	antisense	18	51	228	0.0175439	0.0146563	0.365464	0.357382	1	0.0159628	0.0264165	0.0598517	0.476137	1
L1M4c	L1	antisense	98	313	2189	0.083143	0.0813191	0.345162	0.364986	1	0.0494814	0.0267428	1.25872	0.104066	1
L1P4	L1	antisense	179	390	1114	0.032316	0.0308765	0.304776	0.380268	1	0.0326796	0.0159428	-0.0228092	0.509099	1
AluSx4	Alu	antisense	1268	2020	4869	0.0357363	0.0350489	0.287723	0.38678	1	0.0436856	0.0124898	-0.636463	0.737763	1
L1M3de	L1	antisense	12	30	280	0.0142857	0.0132956	0.145273	0.442248	1	0.0121544	0.0208027	0.102455	0.459198	1
AluYk3	Alu	sense	117	256	289	0.0484429	0.0469153	0.142997	0.443146	1	0.0329196	0.0184995	0.83912	0.200701	1
L1MEj	L1	antisense	128	316	1080	0.0268519	0.0265575	0.0656019	0.473847	1	0.0374474	0.0162516	-0.651971	0.74279	1
AluSc5	Alu	sense	950	1550	3344	0.0245215	0.0244805	0.0167314	0.493325	1	0.0368212	0.00966022	-1.27323	0.898531	1
L1M6B	L1	sense	77	177	381	0.0183727	0.0185457	-0.0264985	0.51057	1	0.0221348	0.0217823	-0.172715	0.568562	1
L1PA2	L1	antisense	117	573	384	0.0286458	0.0288746	-0.0290063	0.51157	1	0.0318015	0.0299049	-0.105523	0.54202	1
L1ME3F	L1	antisense	246	714	2066	0.0300097	0.0306904	-0.199324	0.578995	1	0.0489422	0.0332339	-0.569675	0.715551	1
L1MCc	L1	sense	220	674	3645	0.0293553	0.0300294	-0.257883	0.601751	1	0.0269059	0.0110273	0.22212	0.41211	1
AluYf1	Alu	antisense	218	312	659	0.0227618	0.0249074	-0.38304	0.649155	1	0.0355297	0.0276515	-0.461746	0.677868	1
AluYk4	Alu	sense	113	220	294	0.0340136	0.0390178	-0.478664	0.683911	1	0.0405914	0.0170276	-0.386304	0.650364	1
AluYc	Alu	sense	447	1046	1103	0.0317316	0.0342958	-0.510827	0.695264	1	0.0509836	0.0433277	-0.444335	0.6716	1
AluYm1	Alu	sense	509	1093	1316	0.0205167	0.0225719	-0.54403	0.70679	1	0.0405381	0.0310742	-0.644309	0.740313	1
AluSq	Alu	antisense	1872	3206	8150	0.0381595	0.0393586	-0.603606	0.726947	1	0.0438882	0.0127891	-0.447935	0.6729	1
L1PBb	L1	sense	14	39	684	0.00438596	0.00643888	-0.629128	0.735367	1	0.00637098	0.00602432	-0.3295	0.629111	1
L1PA16	L1	antisense	623	1367	7838	0.0463128	0.0477101	-0.664946	0.746958	1	0.0448933	0.0268112	0.0529461	0.478887	1
